trial,circuit_type,S_subsystem,p_log,log_p_log,duration,n_measurements,is_measurement_heavy
331,measurement,0.0582707661654179,0.089,-2.419118909249997,16.5,6,1
332,unitary,0.0832827573454954,0.035,-3.3524072174927233,6.099999999999999,2,0
333,measurement,0.0582707661654179,0.104,-2.2633643798407643,16.5,6,1
334,unitary,0.0832827573454954,0.039,-3.2441936328524905,6.099999999999999,2,0
335,measurement,0.0582707661654179,0.106,-2.24431618487007,16.5,6,1
336,unitary,0.0832827573454954,0.043,-3.146555163288575,6.099999999999999,2,0
337,measurement,0.0582707661654179,0.098,-2.322787800311565,16.5,6,1
338,unitary,0.0832827573454954,0.038,-3.270169119255751,6.099999999999999,2,0
339,measurement,0.0582707661654179,0.095,-2.353878387381596,16.5,6,1
340,unitary,0.0832827573454954,0.044,-3.123565645063876,6.099999999999999,2,0
341,measurement,0.0582707661654179,0.09,-2.4079456086518722,16.5,6,1
342,unitary,0.0832827573454954,0.038,-3.270169119255751,6.099999999999999,2,0
343,measurement,0.0582707661654179,0.085,-2.4651040224918206,16.5,6,1
344,unitary,0.0832827573454954,0.039,-3.2441936328524905,6.099999999999999,2,0
345,measurement,0.0582707661654179,0.105,-2.2537949288246137,16.5,6,1
346,unitary,0.0832827573454954,0.036,-3.3242363405260273,6.099999999999999,2,0
347,measurement,0.0582707661654179,0.077,-2.563949857128453,16.5,6,1
348,unitary,0.0832827573454954,0.034,-3.3813947543659757,6.099999999999999,2,0
349,measurement,0.0582707661654179,0.086,-2.4534079827286295,16.5,6,1
350,unitary,0.0832827573454954,0.037,-3.2968373663379125,6.099999999999999,2,0
351,measurement,0.0582707661654179,0.085,-2.4651040224918206,16.5,6,1
352,unitary,0.0832827573454954,0.037,-3.2968373663379125,6.099999999999999,2,0
353,measurement,0.0582707661654179,0.088,-2.430418464503931,16.5,6,1
354,unitary,0.0832827573454954,0.033,-3.4112477175156566,6.099999999999999,2,0
355,measurement,0.10202098226596898,0.106,-2.24431618487007,16.5,6,1
356,unitary,0.0832827573454954,0.029,-3.540459448995663,6.099999999999999,2,0
357,measurement,0.0582707661654179,0.081,-2.513306124309698,16.5,6,1
358,unitary,0.0832827573454954,0.053,-2.9374633654300153,6.099999999999999,2,0
359,measurement,0.0582707661654179,0.082,-2.501036031717884,16.5,6,1
360,unitary,0.0832827573454954,0.028,-3.575550768806933,6.099999999999999,2,0
361,measurement,0.0582707661654179,0.114,-2.1715568305876416,16.5,6,1
362,unitary,0.0832827573454954,0.04,-3.2188758248682006,6.099999999999999,2,0
363,measurement,0.0582707661654179,0.107,-2.234926444520231,16.5,6,1
364,unitary,0.0832827573454954,0.04,-3.2188758248682006,6.099999999999999,2,0
365,measurement,0.0582707661654179,0.094,-2.364460496712133,16.5,6,1
366,unitary,0.0832827573454954,0.032,-3.4420193761824103,6.099999999999999,2,0
367,measurement,0.0582707661654179,0.095,-2.353878387381596,16.5,6,1
368,unitary,0.0832827573454954,0.047,-3.0576076772720784,6.099999999999999,2,0
369,measurement,0.0582707661654179,0.088,-2.430418464503931,16.5,6,1
370,unitary,0.0832827573454954,0.042,-3.170085660698769,6.099999999999999,2,0
371,measurement,0.0582707661654179,0.1,-2.3025850929940455,16.5,6,1
372,unitary,0.0832827573454954,0.038,-3.270169119255751,6.099999999999999,2,0
373,measurement,0.0582707661654179,0.084,-2.4769384801388235,16.5,6,1
374,unitary,0.0832827573454954,0.037,-3.2968373663379125,6.099999999999999,2,0
375,measurement,0.0582707661654179,0.093,-2.375155785828881,16.5,6,1
376,unitary,0.0832827573454954,0.036,-3.3242363405260273,6.099999999999999,2,0
377,measurement,0.0582707661654179,0.084,-2.4769384801388235,16.5,6,1
378,unitary,0.0832827573454954,0.031,-3.473768074496991,6.099999999999999,2,0
379,measurement,0.0582707661654179,0.1,-2.3025850929940455,16.5,6,1
380,unitary,0.0832827573454954,0.037,-3.2968373663379125,6.099999999999999,2,0
381,measurement,0.0582707661654179,0.098,-2.322787800311565,16.5,6,1
382,unitary,0.0832827573454954,0.049,-3.0159349808715104,6.099999999999999,2,0
383,measurement,0.0582707661654179,0.1,-2.3025850929940455,16.5,6,1
384,unitary,0.0832827573454954,0.037,-3.2968373663379125,6.099999999999999,2,0
385,measurement,0.0582707661654179,0.101,-2.2926347621408776,16.5,6,1
386,unitary,0.0832827573454954,0.04,-3.2188758248682006,6.099999999999999,2,0
387,measurement,0.0582707661654179,0.098,-2.322787800311565,16.5,6,1
388,unitary,0.0832827573454954,0.035,-3.3524072174927233,6.099999999999999,2,0
389,measurement,0.0582707661654179,0.079,-2.5383074265151158,16.5,6,1
