trial,entropy_type,Delta_S,p_log,log_p_log,duration,qubit_count,gate_count
626,low,1.110223024625156e-15,0.733,-0.3106095770954856,3.9499999999999993,5,11
627,high,0.6931471805599454,0.043,-3.146555163288575,4.45,5,11
628,low,1.110223024625156e-15,0.743,-0.2970592342643779,3.9499999999999993,5,11
629,high,0.6931471805599454,0.047,-3.0576076772720784,4.45,5,11
630,low,1.110223024625156e-15,0.726,-0.320205264157341,3.9499999999999993,5,11
631,high,0.6931471805599454,0.055,-2.900422093749666,4.45,5,11
632,low,1.110223024625156e-15,0.76,-0.2744368457017603,3.9499999999999993,5,11
633,high,0.6931471805599454,0.041,-3.1941832122778293,4.45,5,11
634,low,1.110223024625156e-15,0.743,-0.2970592342643779,3.9499999999999993,5,11
635,high,0.6931471805599454,0.052,-2.9565115604007097,4.45,5,11
636,low,1.110223024625156e-15,0.732,-0.3119747650208255,3.9499999999999993,5,11
637,high,0.6931471805599454,0.048,-3.036554268074246,4.45,5,11
638,low,1.110223024625156e-15,0.764,-0.2691874898156165,3.9499999999999993,5,11
639,high,0.6931471805599454,0.043,-3.146555163288575,4.45,5,11
640,low,1.110223024625156e-15,0.749,-0.2890162954649176,3.9499999999999993,5,11
641,high,0.6931471805599454,0.043,-3.146555163288575,4.45,5,11
642,low,1.110223024625156e-15,0.758,-0.2770718933397654,3.9499999999999993,5,11
643,high,0.6931471805599454,0.054,-2.9187712324178627,4.45,5,11
